,Professor,A+,Semester (Ex: SP21),# of Students,Notes,@
ENGRD 2190,Afridi1160,A-,FA20,53,crosslisted with ECE 2100,
ENGRD 2700,ENGRD 2700,A-,SP22,196,,
ENGRI 1101,Shmoys,A-,FA20,84,,
ENGRI 1120,Alabi,A-,FA20,55,,
ENGRI 1140,Giometto,A-,SP21,56,,
ENGRI 1140,Van Dover,A-,FA19,49,,
ENGRI 1170,Hover,A-,FA22,44,,
ENGRI 1200,Tian,A-,FA21,58,,
ENGRI 1270,Albonesi,A-,FA21,183,,
FGSS 1117,Regenstein,A-,FA21,55,Crosslisted with JWST 2501,
FREN 1220,Thierry,A-,FA22,86,,
FREN 2090,Glidja,A-,SP22,58,,
FREN 2095,Glidja,A-,FA21,70,,
"GERST 1170 (FWS: Marx, Nietzsche, Freud)",McQuade,A-,SP21,16,"Great content, great instructor",
GERST 1220,Lischke,A-,FA21,40,,
GERST 1220,Lischke,A-,SP22,33,,
GOVT 1111,Mettler,A-,FA22,173,,
GOVT 1313,Van de Walle,A-,SP22,141,,
GOVT 3112,Bateman,A-,FA21,39,,
GOVT 3121,Marguiles,A-,FA23,119,crosslisted with AMST 3121,
GOVT 3281,Chutkow,A-,SP21,135,,
GOVT 3303,Lowell,A-,SP23,113,,
GOVT 4000,Various,A-,FA19,45,Gov Major Seminar. The total of 45 students is divided across iirc 3-4 courses under the same number. Each class has max 15 students.,
HADM 1350,Roberts,A-,SP20,145,,
HADM 1360,Ozanne,A-,SP21,122,,
HADM 1360,Pezzotti,A-,FA18,142,No longer teaching this class,
HADM 1410,Alexander,A-,SP21,163,,
HADM 1740,Whitmore,A-,FA22,216,,
HADM 1740,Whitmore,A-,FA21,253,,
HADM 2010,Chestnut,A-,FA21,139,,
HADM 2210,Paz,A-,SP22,130,,
HADM 2220,Moulton,A-,FA21,138,,
HADM 2360,Gaulke,A-,FA19,120,,
HADM 2410,Li,A-,FA19,246,,
HADM 2430,Chun,A-,FA21,137,,
HADM 2810,Lakhani,A-,SP22,135,,
HADM 4480,Dev,A-,FA20,24,,
HD 1150,"Sternberg, K.",A-,FA20,241,,
HD 1150,Sternberg,A-,FA22,209,,
HD 2180,Loeckenhoff,A-,FA19,, ,
HD 2600,Zayas,A-,FA19,,,
HIST 1321,King-O’Brien,A-,FA20,12,,
HIST 1335 (FWS: Fascisms),Alano,A-,FA20,16,,
HIST 1561,Minawi,A-,FA22,18,Prof teaches class like a seminar. discussion sections are not held,
HIST 1600,Friedland/Verhoeven,A-,FA20,140,,
HIST 2560,Strauss,A-,SP22,42,,
HIST 3519,Gocheleishvili,A,SP23,48,,
HIST 3542,Minawi,A-,SP22,15,,
ILRID 1520,Bohns,A-,FA22,292,1.5 Credit Class,
ILRID 1530,Ivory,A,SP23,287,1.5 credit,
ILRID 1531,Rissing,A-,SP23,286,1.5 credit,
ILRID 2660,Homrighouse,A-,FA21,147,,
ILRLR 1100,DeVault,A-,FA20,168,,
ILRLR 1100,Nagaraja ,A-,SP22,180,,
ILRLR 1200,Weiner-Heinemann,A-,FA21,33,,
ILRLR 2010,Gold,A-,FA20,158,,
ILRLR 2010,Griffith,A-,FA20,,,
ILRLR 2050,Yang,A-,FA21,184,,
ILRLR 3071,Applegate,A-,FA19,44,,
ILROB 1220,Entner ,A-,SP22,457,,
INFO 2040,Easley,A-,FA21,210,,
,Nathan Matias,A-,SP22,258,,
INFO 2750,Doing,A-,FA20,45,,
INFO 4240,Sengers,A-,SP22,182,,
LING 3303,Diesing,A-,FA21,34,,
MAE 3050,Bewley,A-,FA21,45,,
MAE 4020,Barthelmie,A-,FA21,28,,
MAE 4220,Zhang,A-,SP22,15,,
MAE 4272,Zhang/Williamson,A-,FA21,128,,
MAE 4351,Callister/Murtagh,A-,FA21,13,crosslisted w/ MSE 5070 and CHEME 5730,
MATH 1110,Schmultzer,A,FA22,540,,
MATH 2210,MacDonald,A-,FA21,225,,
MATH 2240,Strichartz,A-,FA20,22,,
,Borum,A-,SP22,13,,
MATH 2310,Borum,A-,FA18,37,N,
MATH 2930,Ritz/Esmaily,A-,FA22,501,This was the semester the mastery grading system was implemented,
MATH 3040,Quigley,A-,FA21,23,,
MATH 3040,Swartz,A-,SP21,16,wise king,
MATH 3040,West,B+,SP23,43,,
MATH 3230,Juul,A-,FA20,42,,
MATH 3610,Vladimirsky,A-,SP22,17,,
MATH 4220,Strogatz,A-,FA22,58,,
MATH 4220,Randles,A-,FA21,21,,
MATH 4220,Strogatz,A-,FA22,58,,
MATH 4310,Mann,A-,FA22,37,,
MATH 4330,Sen,A-,FA20,28,,
MATH 4330,Knutson,A-,FA22,31,,
MATH 4340,Sen,A-,SP21,17,,
MSE 2620,Van Dover,A-,FA21,23,,
MUSIC 2701,Moseley,A-,SP21,55,,
MUSIC 3111,Merrill,A-,FA19,12,,
NS 3600,Finkelstein,A-,FA19,49,,
NTRES 2201,Roberts,A-,SP21,57,"Crosslisted with BSOC 2201, DSOC 2201",
ORIE 3120,Frazier,A-,SP23,232,,
ORIE 3150,Callister,A-,FA21,140,,
ORIE 3300,Davis,A-,FA21,128,,
ORIE 4330,Gunluk,A-,FA21,27,,
ORIE 4741,Udell,A-,FA21,49,,
PAM 2350,Nicholson,A-,SP22,350,,
PAM 2350,Nicholson,A-,FA22,379,,
PAM 3100,Bottan,A-,FA21,60, ,
PAM 3120,Musick,A-,FA22,,,
PAM 3410,Mathios,A-,FA21,86,,
PAM 3764,Manne,A-,SP22,70,,
PAM 4101,Kapustin,A-,FA22,,,
PHIL 1111,Manne,A-,FA19,50,,
PHIL 2310,Brennan,A-,FA21,46,,
PHIL 2455,Markovits,A-,FA21,67,"Sweetest prof, relatively easy, go to office hours for essay help. Crosslisted with STS 2451, SHUM 2455",
PHIL 2621,Markovits,A-,FA21,51,,
PHIL 3480,"Nichols, Batemen, Lyon, Cornwell ",A-,SP22,30,,
,Markovits,A-,FA19,25,,
PHYS 1101,Giambattista/Taylor,A-,FA21,184,,
PHYS 1110,Kim,A-,SP21,650,,
PHYS 1112,Krasicky,A-,FA21,238,,
PHYS 1112,Krasicky,A-,SP22,237,,
PHYS 2207,Mueller,A-,FA20,417,,
PHYS 2208,Liepe,A-,SP21,319,,
PHYS 2214,Case,A-,FA21,95,,
PHYS 2218,Wittich,A-,FA21,55,,
PHYS 3310,Franck,A-,SP21,18,,
PHYS 3317,Grossman,A-,FA20,62,,
PHYS 3327,Gibbons,A-,FA19,37,,
PHYS 4481,Ginsparg,A-,FA21,24,,
PLSCI 1101,Miller,A-,FA21,55,"Great professor, ta's do all the grading and phd student does the final project",
PMA 1161,Gainor,A-,FA21,17,,
PSYCH 2090,Goldstein,A-,FA22,107,,
PSYCH 2940,"Russo, Gilovich, O'Donoghue, Schulze",A-,SP21,338,crosslisted with AEM 2020,
PSYCH 3250,Segal,A-,SP22,185,,
PSYCH 3420,Field,A-,SP21,81,,
ROMS 1113 (FWS),Eibenstein-Alvisi,A-,FA19,,,
ROMS 1114 (FWS: Semiotics),Alkire,A-,SP22,16,,
RUSSA 1122,Paperno,A-,SP22,12,,
SPAN 1220,Teutli (and others),A-,SP22,69,,
SPAN 1230,Mahiques,A-,FA22,99,,
SPAN 2070,Arias Fuentes,A-,FA18,47,,
SPAN 2090,Teutli,A-,FA19,151, ,
SPAN 2180,Lawless,A-,FA22,31,This class gave a significant amount of essays - by far the toughest class on my schedule,
STS 1101,Leuenberger,A-,FA20,28,,
STS 3042,Kreps,A-,SP21,61,crosslisted with GOVT 3042,
STSCI 2100,Entner,A-,SP22,457,Take with entner instead of packard... or so i've heard,
STSCI 2150,Smith,A-,SP23,197,,
STSCI 3080,El Alaoui,A-,FA21,120,"This professor has a 1.7 rating on rate my professors, crosslisted with BTRY 3080",
STSCI 4030,Guinness,A-,FA20,65,,
STSCI 4110,Smith,A-,FA21,33,,
STSCI 4740,Ning,A-,FA22,39,,
BME 4190,Fischbach,A-,FA22,30,No curve ,
 ,Monroe,A-,FA22,24,,
AEM 2100,Van Es,A-,FA22,230,,
PSYCH 2500,Cleland,A-,FA22,159,,
PHYS 2217,Crites,A-,FA22,35,,
ENGRI 1101,Shmoys,A-,FA22,90,,
ENGRD 2700,Pender,A-,FA22,215,,
PHYS 1116,Hartman,A-,SP22,35,,
PSYCH 2940,"several Professors Teach it together, each for two weeks",A-,SP22,473,,
ILRID 1521,Bell,A-,FA22,294,1.5 Credit Class,
ILRLR 1100,Chen,A-,FA22,195,"Bad professor, worse TA",
ENGRI 1270,Callister,A-,FA22,76,,
PHYS 1110,Kim,A-,FA21,366,,
PHYS 1112,Krasicky,A-,FA22,237,,
ROMS 1113 (FWS),Gubbins,A-,FA22,,,
FSAD 1250,Green,A-,FA22,90,,
FSAD 2190,Blumenkamp,A,SP23,119,,
MEDVL 2655,Powers,A-,FA20,37,,
AMST 4051,Blume,A-,SP21,76,Death Penalty in America,
BSOC 2071,Seth,A-,SP22,57,,
ILROB 1220,Rissing,A ,FA21,208,,
AEM 2050,Wolf,A,SP23,47,,
AEM 2210,Riley,A,SP21,,,
AEM 2600,Moghimi,A,SP22,40,,
AEM 2600,xu,A,FA21,282,A+ if > 100,
AEM 3205,Doris,A,FA22,92,,
AEM 3360,Sethuraman,A,FA21,89,,
AEM 3370,AEM 3370,A,SP21,24,,
AEM 3440,Shields,A,FA20,63,,
AEM 4100,Alexander,A,FA21,23,,
AEM 4160,Liaukonyte,A,SP21,52,,
AEM 4160,Liaukonyte,A,SP21,50,,
AEM 4300,Chu,A,FA21,53,,
AEM 4670,Watugala,A,FA21,84,,
AEP 2550,Fuchs,A,FA22,26,Crosslisted with ENGRD 2550,
AEP 4200,Kusse,A,FA21,36,,
AMST 2001,Earle,A,SP22,329,,
AMST 2001,Earle,A,SP21,667,,
AMST 3032,Washington,A,FA19,~17,,
ANSC 3300,ANSC 3300,A,SP21,42,,
ANTHR 2310,Arcadi,A,FA21,104,,
ANTHR 2482,Ahmann,A,,22,,
ARKEO 2668,Monroe,A,SP22,149,,
ARTH 1100,Robinson,A,FA21,50,,
ASIAN 1111,Tran,A,SP22,56,,
ASIAN 2211,Campana,A,FA21,80,,
ASIAN 2212,Admussen,A,SP22,122,,
ASIAN 3312,Taylor,A,FA21,19,"crosslisted with HIST 3312, AMST 3312",
ASIAN 3315,Campana,A,FA20,29,,
ASTRO 1101,Kaltnegger,A,FA22,,,
ASTRO 2201,Battaglia,A,SP21,58,,
ASTRO 2211,Herter,A,FA22,25,,
,Chernoff,A,FA21,,,
BEE 2000,cs ,A,SP21,148,,
BEE 3299,Truhlar,A,FA17,90,,
BEE 3400,Ma,A,SP21,34,,
BEE 3600,Barstow,A,SP21,38,,
BEE 4750,Anderson,A,FA18,43,,
BIOEE 1780,"Drake, Searle et al.",A,SP21,231,there are a lot of professors on the course staff,
BIOEE 2070,Fletcher,A,SP21,34,,
BIOEE 3610,"Ellner, Sparks, Gordon",A,FA22,24,Lots of difficult ecological modeling,
BIOEE 4760,Bemis,A,FA20,24,,
BIOG 1500,Sarvary,A,SP22,356,,
BIOG 3500,Sarvary,A,FA22,14,,
BIOMG 1290,Aquadro,A,SP23,129,,
BIOMG 1290,Aquadro,A,SP22,126,"no longer giving out free dna tests, lectures are highkey p boring, ta's do all the grading but they seem nice",
BIOMG 3340,Blankenship,A,SP21,14,,
BIOMG 3850,Simoes-Costa,A,FA21,19,,
BIOMG 4390,Kwak,A,SP22,25,,
BIOMG 4400,,A,SP22,33,,
BIOMI 2900,Doerr/Hefferon,A,SP22,160,,
BIOMI 2900,Zinder/Doerr,A,FA21,141,,
BIOMI 3210,Hay,A,FA22,47,,
BIOMI 3500,Hewson,A,SP22,32,,
BIOMI 4040,Debbie,A,SP21,36,,
BIOMS 4150,Rhoades,A,FA21,128,,
BSOC 2061,Parreñas,A,SP22,60,,
BSOC 2101,Harrington,A,SP21,183,,
BSOC 2101,Harrington,A,FA18,215,,
BSOC 4650,Overby,A,FA22,16,,
CAPS 4827,Carlson,A,FA20,14,,
CEE 3410,Gadikota,A,FA21,37,,
CEE 4725,Warner,A,FA21,22,,
CHEM 4610,Various (Research Credit),A,FA19,20,,
CLASS 1531 (FWS: Greek Myth),Gallagher,A,FA20,49,,
CLASS 2604,Clary,A,SP22,182,,
CLASS 2604,Clary,A,FA22,154,Clerical,
CLASS 2689,Rebillard,A,SP22,24,,
COML 1105 (FWS: Books with Big Ideas),Kohlbry et al.,A,SP21,50,,
COML 1105 (FWS: Books with Big Ideas),Lambert,A,SP21,,,
COML 1119 (FWS: Russian Lit),Krivitsky,A,FA21,17,,
COML 1134 (FWS: Reading Poetry),Pollak,A,FA20,32,,
COML 2050,Pollak,A,SP22,15,,
COML 2050,Pollak,A,SP21,11,,
CRP 1100,Campanella,A,FA21,55,,
CS 1380,Williams,A,SP21,49,,
CS 3110,Clarkson,A,SP21,421,No exams in SP21,
CS 4120,Myers,A,SP21,51,,
CS 4152,White,A,SP21,39,,
CS 4160,Clarkson,A,SP22,74,"phenomenal, unlikely to be offered in the next two years",
CS 4220,Bindel,A,SP22,45,,
CS 4300,Danescu-Niculescu-Mizil,A,SP21,206,Crosslisted with INFO 4300,
CS 4320,Trummer,A,FA21,182,,
CS 4411,RVR,A,SP22,72,Predetermined grade cutoffs before the class started,
CS 4411,RVR + FBS,A,FA19,24,,
CS 4414,Birman,A,FA20,96,,
CS 4701,Haym Hirsh,A,SP22,136,,
CS 4701,Selman,A,FA21,125,,
CS 4775,Williams,A,FA20,41,,
CS 4830,Noah,A,SP22,55,,
CS 4850,Stephens-Davidowitz,A,SP21,37,,
CZECH 1132,Harwood,A,FA20,6,Taught through LSC Shared Course Initiative (shared with Yale and Columbia) with videoconferencing technology,
CZECH 1133,Harwood,A,SP21,5,,
DEA 1500,Harwood,A,FA21,2,,
DEA 1500,Evans,A,FA20,22,,
DEA 2700,Evans,A,FA22,318,,
DSOC 1101,Zadeh,A,FA21,16,,
DSOC 1102,Hirschl,A,SP21,230,,
DSOC 2010,"Giroux, Enyegue",A,FA21,151,,
DSOC 2050,Basu,A,SP21,47,,
EAS 1180,Leonard + Paynter,A,FA20,11,"4940 is broadly ""Special topics in DSOC"" -- This median applies to the Migrations course with Paynter. Often there are other courses offered under 4940, but in FA20 it was just the one",
EAS 1540/60,Monger,A,FA21,80,,
EAS 1600,Degaetano,A,SP22,70,,
EAS 1600,Riha,A,FA21,76,,
EAS 1700,Degaetano,A,SP22,70,,
EAS 2500,Ross,A,SP22,179,,
EAS 2680,Lehner,A,SP22,77,,
ECE 2100,Mahowald,A,SP21,25,"Seminar, SP21 topic was Intro to Earth System Modeling",
ECE 2720,Krishnamurthy,A,FA21,60,Crosslisted with ENGRD 2720,
ECE 3030,Monticone,A,SP22,,,
ECE 3030,Monticone,A,FA21,43,,
ECE 4450,Wicker,A,FA21,49,,
ECON 3171,Leung,A,FA20,20,,
EDUC 2410,Kiefer,A,SP21,24,Only two graded assignments,
EDUC 2610,Jeffery Perry,A,FA22,67,,
ENGL 1105,Steinhall,A,FA21,86,,
ENGL 1111,Various (FWS),A,FA22,59,,
ENGL 1147,Various (FWS),A,FA22,193,,
ENGL 1158 (FWS: Asian American Food Writing),Various (FWS),A,FA18,99,,
ENGL 1167 (FWS: Reading Now),Rhee,A,FA21,17,,
ENGL 1168,Codera,A,FA22,,,
ENGL 1168,Various (FWS),A,FA21,189,A+,
ENGL 1168 (FWS: Reading Roleplaying Games),McKenzie,A,FA22,187,,
ENGL 1168 (Various sections),Lloyd,A,FA20,,,
ENGL 1170,Various (FWS),A,SP23,206,,
ENGL 1170 (FWS: Short Stories),Various (FWS),A,FA19,134,,
ENGL 1170 (FWS: Short Stories),Various (FWS),A,FA22,113,,
ENGL 1170 (FWS: Short Stories),Various (FWS),A,SP22,124,,
ENGL 1183 (FWS: Word and Image),Various (FWS),A,FA21,151,,
ENGL 1183 (FWS: Word and Image),Various (FWS),A,FA21,99,"(Personall Recommend Robert Romero, heard Briel Felton is also really good)",
ENGL 1191 (FWS: British Literature),Various (FWS),A,FA22,83,Took with Robert Romero,
ENGL 3705,Various (FWS),A,SP19,77,,
ENGRD 2510,Lohman,A,SP21,28,Crosslisted with EAS 2250,
ENGRD 2700,Fuchs,A,FA23,26,Crosslisted with AEP 2550,
ENGRD 2700,Callister,A,FA21,204,,
ENGRI 1100,Various,A,FA22,952,This is the project teams course,
ENGRI 1100,McMahon,A,SP22,26,crosslisted with AEP 1100,
ENGRI 1101,Brenda Dietrich,A,FA21,77,,
ENGRI 1101,Schalekamp,A,SP22,44,,
ENGRI 1120,Varner,A,FA21,84,,
ENGRI 1120,Varner,A,FA22,39,No homework; all exams have a practice exam nearly identical to it that he provides,
ENGRI 1160,Hover,A,FA19,49,,
ENGRI 1270,Callister,A,FA20,128,,
ENGRI 1510,March/Luo,A,FA20,24,,
ENTOM 2011,Pepiot,A,SP22,24,,
ENTOM 2030,Peck & Sanderson,A,SP21,156,,
ENTOM 2030,Caillaud,A,FA22,119,,
FDSC 1101,Tarantino,A,SP21,63,,
FDSC 2300,Loss,A,FA21,84,,
FGSS 3520,Nesvaderani,A,FA20,16,,
FREN 2090,Menard,A,SP21,76,,
FREN 2180,Menard,A,FA21,20,,
FREN 2320,Torea,A,FA20,19,,
GERST 1109,Menard,A,SP21,13,,
GERST 1109 (From fairy tale to uncanny),Mueller,A,FA20,68,,
GERST 1210,Yigit,A,FA21,32,,
GERST 2020,McBride,A,SP21,12,,
GERST 2020,McBride,A,FA20,,,
GOVT 2225,Haskins,A,FA18,249,,
GOVT 2897,Evangelista,A,SP22,41,,
GOVT 3683,Young,A,FA20,25,,
HADM 2010,MacAusland,A,SP21,143,No A+ given,
HADM 2220,Liu,A,SP21,139,A+ if >99,
HADM 4870,Klausner,A,SP21,63,,
HD 1170,"Sternberg, R.",A,SP22,237,,
HD 2180,Loeckenhoff,A,FA22,,,
HD 2180,Loeckenhoff,A,FA20,107,,
HD 2350,Kedar,A,FA21,28,,
HD 3620,Hazan,A,SP22,754,,
HD 3620,Hazan,A,SP21,706,,
HD 3620,Loeckenhoff,A,SP21,56,,
HE 1115,Chen,A,FA20,53,,
HIST 1200 (FWS: Globalization in the Persian Gulf),Ocampo,A,FA21,24,,
.,Boling,A,SP22,100,,
HIST 1200 (FWS: Writing History),Carnaghi,A,SP21,78,,
HIST 1315 (FWS: American Insurgencies),Chang,A,FA20,18,,
,Schmitt,A,FA21,35,,
ILRHR 2600,Davis,A,FA21,225,,
ILRHR 2600,Davis,A,FA20,,,
ILRLE 3480,Ehrenberg,A,FA19,57,,
ILRLR 2050,McCarthy,A,SP21,114,,
ILRLR 2050,Katz,A,FA22,134,f,
ILRLR 3055,Nelson,A,FA18,48,,
ILRLR 3890,Nelson,A,SP21,178,,
ILRLR 4000,Bronfenbrenner,A,FA21,18,,
ILRLR 4023,Saleh,A,SP22,44,,
ILRLR 4033,Saleh,A,SP22,53,,
ILROB 1220,Rissing,A,SP21,,a,
ILROB 1220,Rissing,A,FA20,210,,
INFO 1260,Kleinberg/Levy,A,SP22,691,crosslisted with CS 1340,
INFO 1260,Kleinberg/Levy,A,SP21,464,crosslisted with CS 1340,
INFO 1300,Harms,A,SP23,264,,
INFO 1300,"Harms, Soltoff",A,SP21,286,,
INFO 3200,Yu,B,SP23,135,crosslisted with COMM 3200,
INFO 3450,Yang,A,FA21,92,All assignments graded by TAs -> very arbitrary,
INFO 4505,Vashistha,A,FA21,81,,
ITAL 1113,Wittelsbach,A,FA18,16,,
ITAL 2201,Baraldi/Von Wittlesbach,A,FA21,64,class size is actually 10-15 people as there are multiple time sessions available,
JWST 2644,Mokhtarian,A,SP22,15,crosslisted with NES 2644,
KOREA 1101,Song,A,FA21,40,,
LING 1100,Various (FWS),A,FA21,94,,
LING 1101,Despic,A,FA20,103,,
LING 1101,Mendia,A,FA21,125,,
LING 1101,Casasanto,A,FA22,101,,
LING 2215,Christiansen,A,SP23,78,Crosslisted with PSYCH 2150 and COGST 2150,
LING 3302,Zec,A,SP22,25,,
LING 3302,Zec,A,SP21,32,,
LING 3321,Alkire,A,FA18,19,,
LING 3344,Dorit Abusch,A,SP22,10,Superlinguistics; very fun class ;),
LING 4424,Rooth,A,SP21,18,Crosslisted with CS 4744,
LING 4425,Murray,A,SP22,18,Great Professor (who bought donuts to share),
MAE 2250,Hoffman,A,,,,
MAE 4610,Callister,A,SP21,48,,
MAE 4900,N/A,A,FA21,324,project team course number,
MAE 4980,Kirby,A,SP21,22,,
MATH 1110,Schmultzer,A,FA21,171,,
MATH 3360,Mesazaros,A,SP22,73,,
MATH 4130,Knutson,A,FA20,39,,
MATH 4130,"Harris, Zhou",A,FA22,46,separate sections,
MATH 4140,Zhou,A,SP21,18,,
MATH 4180,Hubbard,A,SP21,21,,
MATH 4200,Hubbard,A,FA22,13,"Only 4 psets in the first half of the semester, no exams, no syllabus for the class",
MATH 4530,Kassabov,A,FA20,15,,
MUSIC 1100,Serbanescu-Martin,A,SP21,,,
MUSIC 1101,,A,FA22,54,,
MUSIC 1312,Peraino,A,SP21,153,Crosslisted with AMST 1312,
MUSIC 1421,Ernste,A,FA21,36,,
"MUSIC 1701 (FWS: Sound, Sense, Ideas)",Lewandowski,A,FA20,52,,
"MUSIC 1701 (FWS: Sound, Sense, Ideas)",Horner,A,SP23,16,"Grad student teacher is so nice that as long as you're trying your best, you'll get an A :,)",
MUSIC 3431,Cross,A,FA20,27,,
MUSIC 3621,Kilburn,A,FA19,78,,
MUSIC 3631,Spinazzola,A,FA22,52,,
MUSIC 4621,Kilburn,A,FA19,17,,
NES 2601,Tenney,A,SP21,41,3,
NS 1220,Barrow/Johnson,A,SP22,89,,
NS 1600,Leak,A,FA22,60,High median but you have to work for it. Rewarding class & Leak is amazing,
NS 2450,Golan,A,FA22,42,,
NS 2600,Moseley,A,SP22,,,
NS 2750,Gu,A,SP21,100,Crosslisted with ANTHR 2750,
NS 2750,Pollak,A,FA20,32,Highly recommend this class and Pollak!,
NS 3450,Aydemir/Nugen,A,FA19,,,
NS 3450,Aydemir/Nugen,A,FA22,129,,
NS 4500,Rasmussen,A,SP21,76,,
NS 4620,Moseley,A,SP22,24,,
NTRES 2010,Yavitt,A,SP21,105,,
ORIE 4350,Schalekamp,A,FA20,74,,
PAM 2101,Rich,A,FA21,71,,
PAM 2250,Rich,A,FA22,136,Crosslisted with AMST 2070 and SOC 2070,
PAM 2350,Nicholson,A,FA20,344,,
PAM 3230,Reyes,A,FA22,,,
PAM 3250,Tach,A,FA20,68,"crosslisted with SOC 3250, PAM 5250",
PAM 3780,Ziebarth,A,SP21,114,,
PHIL 1100,Kapustin,A,SP21,87,,
PHIL 1110,Esposito,A,FA22,50,Professor is hilarious; easy grading & good feedback (3 essays). Some work required but rewarding if interested in phil,
PHIL 1111,Dietl,A,SP21,49,,
PHIL 1112 (FWS),Yost,A,FA22,117,,
PHIL 1440,Starr,A,FA21,54,,
PHIL 2310,Kocurek,A,SP21,44,,
PHIL 2621,Starr,A,SP21,35,,
PHIL 2990,Starr,A,FA19,70,,
PHYS 1110,Holmes,A,FA22,390,,
PHYS 1116,Kim,A,SP22,48,,
PHYS 1201,Cohen,A,FA20,128,,
PHYS 1204,Thorne,A,SP21,16,crosslisted with MUSIC 1466,
PHYS 4444,LeClair,A,SP22,27,,
PLBIO 2300,Nixon,A,FA21,13,,
PLSCI 1115,Crepet,A,SP22,32,,
PLSCI 2013,Hodge,A,FA21,157,,
PMA 2800,Black,A,SP22,99,,
PSYCH 1101,Pizarro,A,FA19,956,No prelims in Fall 2021 (just online final and weekly online quizzes & readings) ,
PSYCH 1101,Caldwell,A,FA22,852,,
PSYCH 1102,Nichols,A,SP22,271,"crosslisted with COGST 1101, LING 1170, PHIL 1910, CS1710",
PSYCH 1102,Swallow,A,FA21,289,"crosslisted with COGST 1101, LING 1170, PHIL 1910, CS1710",
PSYCH 1120,Anderson,A,FA19,34,,
PSYCH 1130 (FWS),Werth,A,FA22,17,,
PSYCH 2090,Goldstein,A,FA19,131,,
PSYCH 2500,Cleland,A,SP22,116,FA19 median was A-. Would recommend to take the 4 cr option with R,
RUSSA 1125,Paperno,A,FA20,206,,
SOC 2208,Weeden,A,SP23,224,,
SPAN 2180,f,A,FA20,29,,
STS 1126 (FWS),Harrison,A,FA21,17,,
STS 2011,Hilgartner,A,FA21,64,crosslisted with SOC 2100,
STS 2051,Overby,A,FA20,139,crosslisted with BSOC 2051,
STS 2468,Langwick,A,SP22,83,crosslisted with BSOC/ANTHR 2468,
STS 3011,Ratcliff,A,FA21,68,,
STS 3011,Roebuck,A,FA19,74,,
STSCI 2100,Karns,A,SP21,380,crosslisted with ILRST 2100,
SYSEN 1900,Schneider,A,SP21,50,,
TURK 1331,Ozer-Griffin,A,FA21,2,Teacher is absolutely amazing,
VIEN 1104,Arnink/Moss,A,FA23,208,,
VIEN 1104,Arnink,A,FA22,220,,
NS 3450,Aydemir/Nugen,A,FA22,129,,
INFO 1200,"Jackson, Gili",A,FA22,311,,
PHYS 1110,Crites,A,SP23,613,,
ILRHR 2600,,A,FA22,188,,
PHIL 1112 (FWS),Zhu,A,FA22,117,"Actual class was quite difficult, but she seemed to curve everyone's grades at the end",
EAS 3410,Degaetano,A,FA22,14,,
NS 1400,Hoddinott/Bellows/Lujan,A,FA22,276,,
BIOMI 2950,Hendry,A,FA22,36,Biology of Infectious Diseases,
ENTOM 4520,Harrington,A,FA22,30,Biology of Disease Vectors,
NS 4600,Frith,A,FA22,20,Don't be deceived: way too much work for a 3 credit class (our group wrote a 90 page paper),
ENGL 1158 (FWS: Literature of 'BS Jobs'),Stephen,A,FA22,,,
GREEK 1101,Pelliccia,A,FA22,14,Intro to Ancient Greek -- Pelliccia is a great prof,
ANTHR 2465,Smith,,SP22,20,"Crosslisted with ARKEO 2465, NES 2465",
CZECH 1131,many,,FA22,102,,
FGSS 2010,Chang,,FA22,,,
GDEV 1300,,,,,Crosslisted with PLSCI 1300,
GOVT 3867,Ward,,FA20,,,
HADM 2230,Szpiro,A-,SP23,160,,
ILRLR 3300,Nelson,A,SP23,136,,
MATH 2210,Aguiar,B+,SP23,116,,
ECON 3110,Packard,B+,SP23,80,,
GOVT 1615,Frank,A-,SP23,86,Crosslisted with PHIL 1920,
GOVT 3606,Fleming,A-,SP23,42,"Crosslisted with GERST 3610, COML 3542, ENGL 3916, SHUM 3610",
BIOMG 3320,"Grimson, Smolka",B+,SP23,188,,
MATH 2130,Ling,B,SP23,35,,
CHEM 1570,Kinsland,B,SP23,236,,
CS 4780,Weinberger,A,SP23,,,
GOVT 3087,Brundige,A,SP23,121,Crosslisted with LAW 4081,
STSCI 2100,Entner,B+,SP23,554,Crosslisted with ILRST 2100. A+ not an option.,
EAS 1600,DeGaetano,A-,SP23,64,,
NTRES 2201,Stedman,A-,SP23,162,"Crosslisted with BSOC 2201, GDEV 2201",
NTRES 1101,Kraft,A-,FA22,107,Crosslisted with ENVS 1101. A+ not an option.,
ASIAN 2250,Boucher,A-,SP23,65,Crosslisted with RELST 2250,
CS 4120,Myers,A-,SP23,,,
CS 4830,Stephens-Davidowitz,A,SP23,,,
CS 6110,Silva,A,SP23,,,
