,Professor,A+,Semester (Ex: SP21),# of Students,Notes,@
,Wissink,B+,SP22,70,,
ECON 4660,Wissink,B+,FA22,102,,
,O'Donoghue,B+,SP21,139,,
ENGRD 2250,Doerschuk,B+,FA21,45,Crosslisted with BME 2000,
ENGRD 2550,Pepiot,B+,FA19,184,,
ENGRD 3200,Schalekamp,B+,SP21,186,,
ENGRG 3400,Pepiot,B+,SP23,171,,
ENGRI 1101,MacMahon,B+,FA19,28,,
ENGRI 1160,Van Dover,B+,FA21,63,,
ENGRI 1210,Kourkoutis,B+,FA21,46,crosslisted with AEP 1200,
GERST 2000,Matthias,B+,FA19,16,,
GOVT 1111,Kriner,B+,FA21,247,king,
GOVT 1817,Kreps,B+,FA21,84,,
GOVT 2432,Marmor,B+,FA21,66,crosslisted with PHIL 2430,
HADM 1150,Tang,B+,FA21,123,,
HADM 1210,MacAusland,B+,FA22,116,,
HADM 1210,McAusland,B+,FA19,160,,
HADM 1350,Roberts,B+,FA22,117,,
HADM 1350,McCarthy,B+,FA16,154,,
HADM 1650,Odom-Reed,B+,FA18,119,Avoid this professor.,
HADM 1650,Stewart-Harris,B+,FA21,135,,
HADM 2210,Paz,B+,FA19,,Fall 2021,
HADM 2220,iyer,B+,FA19,148,,
HADM 2250,Carvell,B+,SP20,152,,
HADM 2360,Gaulke,B+,SP22,139,,
HADM 2410, ,B+,SP22,188,,
HADM 2430,LaTour,B+,SP21,136,,
HADM 2550,Chervinsky,B+,SP22,138,,
HIST 1511,Weil,B+,FA19,33,,
HIST 2590,Falk,B+,SP21,13,,
HIST 2958,Florea,B+,SP22,15,"Is functionally the same structure as 2969, just with different content",
HIST 2969,Florea,B+,FA21,75,Be prepared to read around 100 pages some nights,
ILRLE 2400,Hutchens,B+,FA21,159,,
ILRLE 2400,Smith,B+,SP21,143,,
ILRLR 2050,Litwin,B+,FA18,208,,
INFO 2040,"Easley, Kleinberg",B+,FA22,552,,
INFO 2950,Mimno/Koenecke,B+,FA21,,,
MAE 3230,Kirby,B+,FA22,125,,
MAE 3240,Tian,B+,FA21,118,,
MAE 3260,Campbell/Ritz,B+,SP21,118,,
MAE 4510,Fisher,B+,,,,
MATH 1110,Schmultzer,B+,FA20,460,,
MATH 1110,Various ,B+,SP23,258,,
MATH 1120,Iyer,B+,FA21,141,,
MATH 1220,Benjimin,B+,FA21,10,,
,Nussbaum,B+,FA21,58,,
MATH 1910,Ruina,B+,SP21,132,,
MATH 1920,Connelly/Manning/Belk,B+,FA23,442,,
MATH 1920,Delp,B+,SP21,,,
MATH 1920,Delp,B+,FA23,634,Avoid Durham at all costs,
MATH 1920,Delp,B+,FA23,478,,
MATH 1920,Delp/Elek,B,SP23,533,"2 sections Delp, 1 Elek",
MATH 1920,Sjamaar/Strogatz,B+,SP20,476,,
MATH 2210,Riley,B+,SP21,113,,
MATH 2210,Townsend,B+,FA21,183,"If you can choose a professor, make sure to get the better one in Prof Rating. Good Professor in this course will make it a million times easier",
MATH 2210,West/Templier/Dozier,B+,FA21,174,,
MATH 2211,Berest,B+,FA21,383,,
MATH 2220,2208,B+,FA20,37,,
MATH 2230,Hubbard,B+,FA20,14,,
MATH 2930,Berest,B+,FA21,383,,
MATH 2930,Healey/Vladimirsky,B+,FA22,328,,
